0,1,2,3,4
5,6,7,1,0
2,8,9,10,3
1,7,11,8,2
4,3,12,13,14,15
15,14,13,16,17,18
9,8,11,19,20,21,22,23,12
6,24,25,26,19,11,7
12,23,27,28,16,13
23,22,21,29,27
18,17,30,31
16,28,32,30,17
19,26,33,20
20,33,34,35,36,29,21
32,28,27,29,37,38,39
25,40,41,42,34,33,26
32,39,43,44,31,30
39,38,37,35,45,43
24,46,47,25
25,47,48,41,49
41,48,45,35,34,42
