647,138
650,163
670,182
694,191
723,182
721,159
700,138
676,129
275,176
253,183
239,208
245,231
265,242
288,234
301,210
295,187
607,241
607,269
623,288
657,299
683,285
684,259
662,235
633,227
441,275
430,290
433,307
449,319
467,317
478,302
475,285
459,273
831,285
794,289
767,318
755,354
766,389
798,391
831,361
845,323
901,398
881,400
867,418
868,438
879,448
901,445
912,431
914,414
530,478
507,481
482,510
474,546
484,561
505,557
528,532
538,503
126,538
126,560
150,586
184,594
204,582
204,560
180,534
146,526
719,547
707,548
696,561
696,573
703,581
715,580
726,567
725,552
530,571
529,592
544,609
574,616
588,607
590,589
571,567
544,562
982,578
951,581
923,612
915,654
930,675
959,671
986,642
995,598
809,597
793,624
806,660
841,678
880,665
889,636
868,601
368,645
355,648
347,659
347,672
358,681
369,679
379,667
379,654
490,673
493,689
513,706
531,712
548,707
547,694
527,675
508,668
739,745
722,744
700,764
691,791
698,810
712,811
734,793
745,763
329,801
307,804
287,826
277,854
285,877
303,876
326,854
337,824
904,827
873,828
843,858
832,902
848,927
879,922
904,896
916,862
740,839
716,840
694,860
688,892
706,915
730,914
752,894
758,862
51,846
38,847
26,859
18,877
21,894
30,895
48,878
55,856
177,899
177,921
200,944
222,952
249,945
249,923
226,900
204,892
416,930
413,943
427,963
444,970
465,965
469,951
456,932
439,924
